"","avg_a","q26r3","q26r11"
"367",3.25,1,2
"2016",3.25,3,3
"2121",2.75,1,3
"718",3,1,3
"1635",3.5,4,3
"1579",2,1,5
"817",3.25,1,2
"1851",3,1,3
"2301",3.25,1,3
"1168",4,1,6
"918",1.75,3,6
"2194",2,2,3
"1492",3.5,4,3
"1729",3.5,3,3
"1840",2,2,2
"1567",2.75,3,5
"783",3.25,3,3
"874",1.5,1,2
"1",4,2,6
"210",3.5,1,6
"319",3.5,1,5
"730",2.75,3,3
"419",3.75,1,6
"2328",2.25,2,1
"936",2.75,4,4
"2325",3,2,5
"1053",2.25,1,6
"2118",3.75,4,2
"583",2.75,3,3
"1282",2,1,6
"1899",2.75,3,2
"1270",3,1,6
"934",3.25,3,2
"848",2.25,1,2
"1962",3.25,3,5
"876",2,1,3
"362",2.75,2,6
"955",2.75,2,1
"2136",1.5,2,1
"1335",3,1,3
"39",2.5,2,6
"2021",3,2,4
"2036",2.25,3,2
"1787",2.25,1,1
"78",2.25,1,1
"1550",3.5,2,4
"2213",2.75,3,2
"1765",2.75,1,6
"143",3.25,3,3
"644",3,3,3
"1502",3.5,1,6
"1619",3.75,1,6
"1462",3.5,5,6
"920",3.75,4,4
"1984",2.5,2,6
"1392",4,5,2
"1499",3.75,1,6
"1795",3.5,1,6
"443",1.75,3,1
"1457",3.25,1,6
"187",3.5,2,5
"344",2.75,4,4
"722",3.5,2,2
"223",3,2,2
"1010",2.5,2,3
"1366",3.5,1,6
"2100",2.5,2,2
"128",2.75,2,2
"972",3,3,2
"1326",2.75,1,2
"984",3.75,2,3
"1381",3.75,3,6
"1666",2.75,1,3
"58",2.5,1,6
"1776",3.75,1,3
"2157",1.75,3,1
"1614",3,3,5
"843",3.75,1,5
"1256",3.25,2,2
"1742",2.5,3,5
"879",3,1,3
"2012",2.75,2,2
"2171",3.25,4,3
"795",3,2,6
"1632",2.75,1,4
"985",3.25,1,2
"1150",3.25,2,3
"1460",2.75,3,6
"845",3,3,4
"260",2,4,6
"1587",2.75,6,3
"832",3,1,4
"882",2.5,1,2
"2385",3,2,6
"958",3,5,2
"213",3.25,1,4
"322",1.75,1,2
"873",3.5,3,5
"1198",3.25,4,2
"1072",4,1,5
"2363",4,2,3
"1277",3.5,3,2
"2210",3.25,3,6
"476",3.5,2,6
"137",3.25,3,6
"1147",2.75,6,2
"1578",3,2,3
"2238",2,3,3
"1391",3.5,2,5
"2266",3,3,2
"948",1.5,2,1
"2247",2.25,2,2
"1892",3,2,6
"987",1,1,1
"2017",3,1,3
"1505",1.5,2,1
"1555",3.5,3,1
"1934",3.25,1,5
"2228",3.5,1,2
"380",3,1,6
"1940",3,1,3
"1790",3,3,3
"1939",3.25,2,3
"1039",2.75,1,5
"745",2.75,5,3
"1134",3,2,6
"122",3.5,2,6
"2184",1.75,2,1
"1385",2.75,1,5
"1128",3.25,3,4
"1775",3,4,6
"1089",2.75,2,6
"194",2.5,1,5
"220",3.25,2,6
"1429",2.5,3,6
"1848",2.5,3,3
"1683",3,3,6
"328",3.25,2,5
"2292",3,3,5
"691",3.5,1,1
"932",3.5,2,6
"1376",3,1,6
"1148",3.5,3,4
"1451",3.25,2,6
"1181",4.25,3,4
"727",3.5,1,4
"630",2,1,2
"56",3.5,2,6
"1427",3.25,1,6
"1925",3.5,1,3
"507",2.75,1,4
"1484",2,1,6
"1535",2.25,3,6
"48",2,1,2
"1055",1,1,1
"1183",3,3,4
"461",1.5,3,2
"2168",2.25,1,3
"2274",3.25,2,3
"241",3.75,1,4
"1748",3,5,6
"854",2.5,3,4
"1667",3.25,4,3
"397",3.75,1,1
"100",3,2,4
"1938",3.5,4,6
"897",1,2,1
"990",3.5,6,6
"558",3,2,6
"92",2.75,2,2
"1508",3,1,4
"394",3.25,2,6
"699",3.75,4,2
"811",2.5,3,3
"301",3.25,3,2
"2167",3.5,2,6
"401",3,1,6
"1093",2.75,2,5
"1903",3,2,5
"446",3.5,3,4
"178",3.25,3,6
"1682",3.25,3,6
"2362",1.25,2,5
"868",2.75,1,6
"716",3.25,3,6
"1967",2.75,3,3
"299",3,2,2
"1800",3,1,2
"982",2,1,1
"1999",3.75,3,5
"375",2.75,3,3
"1195",3,1,6
"572",2.75,2,3
"858",5,5,5
"820",3,6,6
"1187",3.25,1,5
"57",3,2,6
"578",2.5,1,6
"1251",3,5,5
"655",1,1,1
"911",2.75,3,2
"1620",2.75,1,6
"1276",2.75,3,6
"85",3.5,3,4
"835",3.5,1,6
"1841",3.5,3,2
"939",3,3,3
"1766",3,3,6
"1206",3.25,1,1
"2148",2.75,2,5
"674",3.5,1,6
"577",3,2,2
"485",2.75,3,3
"186",2,1,1
"2111",2,1,6
"1651",3.5,4,4
"1554",2.75,2,5
"2088",1.25,2,6
"173",3.5,2,5
"2379",3.25,1,3
"1565",3.5,4,3
"1638",2.75,1,6
"132",6,3,2
"160",3,1,1
"2154",2.75,1,3
"696",3,3,3
"1131",3,2,3
"2082",2.75,2,3
"1745",2.5,1,6
"1029",3,1,4
"899",2.75,1,3
"459",3.75,1,3
"2299",2.25,1,2
"1629",3.25,5,6
"41",3.5,4,6
"1192",3,2,2
"441",3,2,6
"2396",2.5,2,4
"580",3.75,1,5
"2218",2.75,3,4
"1679",2.25,6,5
"994",2.75,2,3
"2087",3.75,2,4
"894",3,2,4
"815",2.5,4,2
"807",2.5,1,6
"451",3,1,2
"1194",2.75,2,4
"1634",1.5,1,6
"2055",3.25,2,6
"2133",1.5,2,2
"1258",2.5,1,6
"104",1.75,1,1
"1654",2.75,2,6
"206",3,1,6
"1971",3.25,2,6
"942",2.75,1,4
"1789",3.5,2,5
"2216",3,3,3
"226",2.25,3,3
"200",2.75,5,6
"232",2.5,1,6
"803",3.5,1,5
"192",2.5,3,3
"2215",1.5,1,2
"557",2.75,2,5
"11",3.25,2,5
"1708",2,4,6
"981",3,3,3
"289",3,2,4
"1639",2.25,1,6
"793",2.75,1,6
"2061",3,1,3
"2250",3,1,3
"602",2.5,3,4
"1125",1,1,1
"734",3.5,3,4
"2253",1.75,2,6
"157",2,2,2
"1141",3.75,2,6
"1014",3,2,3
"1179",3.5,4,4
"406",1.25,1,1
"1521",2.5,2,3
"1424",4,2,3
"2207",1.75,1,6
"516",2.5,2,4
"1157",3.5,4,2
"1770",3.75,2,2
"1710",3.5,1,3
"1472",3,1,6
"3",3.5,1,3
"1618",2.25,2,2
"1716",2.5,3,3
"2049",2.5,2,3
"1994",1,1,6
"2306",3.75,1,3
"1447",3,3,5
"64",2.5,2,5
"1602",3.25,1,1
"1574",3,2,1
"1992",3,2,4
"779",3,3,3
"1839",3,3,3
"4",2,1,2
"218",2.25,2,3
"2388",1,1,1
"484",2.5,1,3
"454",2.5,1,6
"1604",4.25,2,3
"857",3.25,1,6
"2026",3.25,2,1
"1356",3.25,1,6
"1952",2.75,1,5
"1077",3.5,5,5
"1290",2.25,3,6
"138",3.5,3,4
"2098",3.25,3,3
"827",2.75,3,3
"101",2.5,1,6
"1858",3.25,2,6
"1153",3.25,3,5
"1585",1.5,6,1
"1189",3.5,4,3
"1406",3.25,3,4
"1949",2.75,3,2
"660",2.5,2,6
"209",3.5,1,3
"1719",3,3,6
"509",2.75,6,2
"438",3.5,1,2
"584",3.75,2,5
"312",2.75,2,2
"2332",2.5,1,5
"235",2,2,2
"652",2.75,2,5
"1912",2.5,2,6
"1669",2.75,5,6
"692",3.75,1,5
"2197",2,5,3
"54",2.75,2,5
"1060",1.75,4,3
"335",3.5,2,6
"410",2.75,1,1
"1166",3,2,6
"2241",2.75,3,2
"2340",3.25,3,5
"573",3.5,2,6
"708",2.5,2,2
"152",3.25,2,3
"515",2.25,1,3
"1593",3,3,5
"653",2.5,1,4
"465",1.75,5,6
"1205",2.5,1,4
"1922",3.75,5,6
"1869",1.5,1,6
"2323",3.25,1,2
"962",1.75,2,2
"1334",3.75,2,2
"846",3.25,5,2
"1232",3.75,2,2
"667",2.75,1,2
"2182",2.5,2,3
"499",3.5,3,4
"1688",2.75,1,6
"1675",3,2,6
"1165",1,2,3
"2155",2,1,1
"2010",3.25,2,4
"1514",2.5,1,5
"1678",2.75,1,6
"1231",2.75,1,6
"1278",2.75,1,6
"9",2.75,1,4
"802",3,3,4
"780",3,2,2
"1116",1,1,1
"849",1.75,1,2
"2106",2.25,3,6
"2367",1,1,1
"1644",2.75,2,6
"1208",2.75,2,4
"195",3.5,2,2
"1207",2.75,4,6
"1012",3.5,2,5
"1175",3,3,3
"191",3.5,2,6
"822",1.75,1,3
"80",2.75,2,3
"1252",2.75,2,5
"296",4.75,1,6
"1534",2.75,2,6
"2251",1.75,3,4
"1272",3.25,3,3
"372",3.75,2,6
"1107",3,3,4
"1797",2.25,4,6
"264",2,2,2
"1154",3,3,4
"785",3,1,3
"1142",1,5,5
"1305",2.25,3,6
"1560",3.5,3,2
"2309",3,2,5
"669",3.75,1,6
"2283",3.25,1,3
"489",3.25,4,4
"1384",3,2,1
"1713",2.5,2,6
